Query,Documents content,Nilai/Ranking (0-3)
What is the definition of Unsupervised Learning?,"subparts and see what each of them are, how they work, and how each one of them is used in real life. Starting with Supervised Learning, So what is it? Understanding Supervised Learning Let’s see the mathematical definition of Supervised Learning. Supervised learning is the one where you have input variables (x) and an output variable (Y) and you use an algorithm to learn the mapping function from the input to the output. it, Y = f(X) The goal is to approximate the mapping function so well that whenever you get some new input data (x), the machine can easily predict the output variables (Y) for that data. Let me rephrase you this in simple terms: In Supervised machine learning algorithm, every instance of the training dataset consists of input attributes and expected output. The training dataset can take any kind of data as input like values of a database row, the pixels of an image, or even an audio frequency histogram. Now let me tell you why this category of machine learning is termed as supervised learning? This category is termed as supervised learning because the process of an algorithm learning from the training dataset can be thought of as a teacher teaching his students. The algorithm continuously predicts the result on the basis of training data and is continuously corrected by the teacher. The learning continues until the algorithm achieves an acceptable level of performance. Supervised Learning Use-cases Cortana Cortana or any speech automated system in your mobile phone trains your voice and then starts working based on this training. This is an application of Supervised Learning Weather Apps Predicts the upcoming weather by analyzing the parameters for a given time on some prior knowledge (when its sunny, temperature is higher; when its cloudy, humidity is higher, etc.). Biometric Attendance In Biometric Attendance you can train the machine with inputs of your biometric identity — it can be your thumb, iris or ear-lobe, etc. Once the machine is trained it can validate your future input and can easily identify you. Understanding Unsupervised Learning So, what is Unsupervised Learning? Mathematically, Unsupervised learning is where you only have input data (X) and no corresponding output variables. The goal for unsupervised learning is to model the underlying structure or distribution in the data in order to learn more about the data. Let me rephrase it for you in simple terms: In the unsupervised learning approach, the sample of a training dataset does not have an expected output associated with them. Using the unsupervised learning algorithms you can detect patterns based on the typical characteristics of the input data. Clustering can be considered as an example of a machine learning task that uses the unsupervised learning approach. The machine then groups similar data samples and identify different clusters within the data. Now let me tell you why this category of machine learning is known as unsupervised learning? Well, this category of machine learning is known as unsupervised because unlike supervised learning there is no teacher. Algorithms are left on their own to discover and return the interesting structure in the data. Unsupervised Learning Usecases A friend invites you to his party where you meet totally strangers. Now you will classify them using unsupervised learning (no prior knowledge) and this classification can be on the basis of gender, age group, dressing, educational qualification or whatever way you would like. Since you didn’t have any prior knowledge about people and so you just classified them “on-the-go”. Let’s suppose you have never seen a Football match before and by chance watch a video on the internet, now you can classify players on the basis of different criterion like Players wearing the same sort of kits are in one class, Players of one style are in one class (players, goalkeeper, referee), or on the basis of playing style(attacker or defender) or whatever way you would observe,",2
What is the definition of Unsupervised Learning?,"Let’s break down three key types of machine learning in a way that’s easy to follow. Unsupervised learning is when the computer doesn’t get any labels. It’s like being given a set of puzzles with no instructions. The computer’s job is to find patterns and group similar things together. For example, it might look at a bunch of animal photos and group them based on common traits, even if it doesn’t know the names. The great thing about this approach is that it’s perfect for discovering hidden patterns. The downside? The computer might group things in ways that don’t always make sense to us. Supervised learning is like learning with a teacher who gives you both questions and answers. Imagine showing a computer a bunch of images labeled “cat” or “dog.” The machine looks for patterns, learning what makes each animal unique. Over time, it can predict whether new pictures show cats or dogs, based on the patterns it’s seen. The big advantage? It’s fast because the computer has clear guidance. The downside? You need a lot of labeled data, which can take time to prepare. Reinforcement learning is more like a game. The computer learns by trying actions and receiving feedback — rewards for good choices, penalties for mistakes. Think of training a robot to navigate a maze. It tries different paths, and each time it hits a wall, it learns to avoid that route next time. The benefit here is that it can learn complex tasks over time. The challenge? It takes a lot of trial and error for the computer to figure out the best approach. Supervised Learning: Guided Learning with Answers Reinforcement Learning: Learning by Trying and Failing Unsupervised Learning: Figuring Things Out on Your Own Now you see how these different approaches make machines smarter. From helping us find better movie recommendations to improving game AI, machine learning is part of our everyday lives. What’s a piece of technology that has impressed you recently with how smart it seems? I’d love to hear about it!",2
What is the definition of Unsupervised Learning?,"What is Machine Learning? Machine Learning is simply the strategy of making a machine learn from data. When going deep, we can say that Machine Learning is the subset of Artificial Intelligence that enables computers the ability to learn and improve on their own experience without being explicitly programmed. Mainly there are three types of methods in which machine learning algorithms learn. They are… Supervised Learning Unsupervised Learning Reinforcement Learning In a supervised learning process, the training data you feed to the algorithm includes the desired solutions called the labels. This means, there are already some data that consist of the desired answers or output in the dataset itself. Let’s understand the concept of supervised learning with an example, take the case of a five-year-old student, he/she is not likely to understand the subjects without the help of his/her teacher. So there he/she needs a supervisor for learning the subjects. In the same way, our supervised learning algorithm is also like a five-year-old child which cannot learn without the help of a supervisor. So to make a model more Supervised Learning efficient, we need to train them continuously with the labeled training data to yield a good result. After the algorithm learns the rules and patterns of the data, it creates a model which is an algorithmic equation for producing output data with the rules and patterns derived from training data. Here we are giving all labels to the algorithm to predict the outcome. Once the algorithm is well trained with the data it can be launched in the real world. important supervised learning algorithms: Linear Regression Logistic Regression Support Vector Machines(SVM) k-Nearest Neighbors Decision Tree & Random Forests Neural Networks Supervised Learning Model Unsupervised Learning Important Unsupervised Learning algorithms Important Unsupervised learning algorithms: Clustering K-Means DBSCAN Hierarchical Cluster Analysis(HCA) Anomaly detection and novelty detection One-class-SVM Isolation Forest In unsupervised learning, the data patterns are not classified. Instead, the algorithm tries to uncover the hidden patterns in a dataset and create labels. This means the unsupervised learning algorithms are able to classify the overall data into groups of data that are quite similar in their features. Suppose you want to identify which type of customers are mostly attracted to your products, you can classify them into different groups using unsupervised learning algorithms based on their purchasing behavior and can identify which type of customers are most attracted to your product. In industry, unsupervised learning is particularly powerful in fraud detection where the most dangerous attacks are often those yet to be classified. Moreover, it is used in spam filtering, fraudulent transactions, fraudulent online activities, etc. Unsupervised Learning Model Association rule learning Apriori Eclat Visualization and dimensionality reduction Principal Component Analysis(PCA) Kernal PCA Locally-Linear Embedding(LLE) t-distributed Stochastic Neighbour Embedding(t-SNE) Reinforcement Learning One of the most advanced learning approaches in Machine Learning is Reinforcement learning. Unlike supervised and unsupervised learning, reinforcement learning is a sophisticated learning technique that continuously improves its model by leveraging feedback from previous iterations. The learning system is called an agent which gets rewards for good performance and penalties for bad performance. At each time the machine can understand which type of strategy is the best fit to get the rewards and to keep away from penalties. The method of reinforcement learning is used to train robots how to walk, jump, run, etc. Conclusion Supervised and Unsupervised learning is mostly used in industries to build smart systems. Moreover, these algorithms can also be used to create insights on data that are quite useful for data scientists when working on",3
What is the definition of Unsupervised Learning?,"1 : Defining problem and gathering data for it. Step 2 : Pre-processing data. Step 3 : Split data into train and test sets. Step 4 : Training the model. Step 5 : Evaluating model. Step 6 : Improve model. Step 7 : Deploying model and monitoring. Steps 4, 5 and 6 are repeated until we get some satisfactory conclusion, we can use that algorithm else we will try improving our algorithm up to satisfactory results. Once our model is trained at satisfactory result we will use in real time data. 2. Unsupervised Learning In unsupervised learning, machine is presented with unlabeled, uncategorized data and the system’s algorithms act on the data without prior training. System will figure out pattern of data and group them in that manner. For example, in above example of apples and strawberries we will not label data, i.e. we will not say system that this is an apple or a strawberry. Hey...! It still identified correctly. But, how? They grouped data based on similarity. It is like giving a baby a bunch of fruits and giving no prior knowledge of which fruits they are. In this case baby will group similar looking fruits, same as our system did above. In short it will form clusters of similar data. So clustering is type of unsupervised ML. Clustering: A clustering problem is where system tries to discover the inherent groupings in the data. Like in our above example. 3. Reinforcement Learning Reinforcement Learning is a part of Machine learning where an agent is put in an environment and he learns to behave in this environment by performing certain actions and observing the rewards which it gets from those actions. Best example of this is playing a new game. At the first you are totally unaware about the features of game. But once you start exploring you get to learn and with the passing time you become a champion. Is it? Similarly, system or agent here is put out in different environments with some initial algorithms. The agent explores environment and learns the same way you did playing a new game. Another example could be a child going to school. Here the child is agent, school would be the environment. If a child does some good work he will be rewarded, but if he misbehaves, he will be punished or penalized. In future, whenever child will try to do similar thing again he will think of getting rewarded or punished. This will improve the child. Reinforcement Learning is mostly used in gaming, finance sector, manufacturing, Inventory management, Robot navigation, etc. Flow chart recap for Types of Machine Learnings: This is all about introduction to machine learning and it’s different types. Hope it is useful to get basic understandings of Machine Learning. Ensemble Methods in Machine Learning In this article, we will try to get familiar with different ensemble techniques and some common algorithms in it. medium.com Follow Published in Artificial Intelligence in Plain English 19.3K Followers · Last published 1 day ago Machine Learning Supervised Learning Unsupervised Learning Reinforcement Learning Artificial Intelligence",2
What is the definition of Unsupervised Learning?,"classified as class X because the majority of our neighbors are members of that class. This classification can be accomplished with simple majority vote or distance-weighted voting [10]. B. Unsupervised Learning Unsupervised learning deals with input data that are not labeled at all. The input is unsorted information or data and we do not have any idea, clue or guidance about the input characteristics and features. In this case, grouping can be processed based on the shape, differences, similarities and different patterns of the data. In terms of complexity, it is a computationally complex model. Unlike supervised learning, the number of classes is unknown. Unsupervised learning can be used for clustering, feature learning, anomaly detection, Fig. 4. Overview of the KNN algorithm, outlining the steps involved in categorizing an unclassified data point based on majority voting from its nearest neighbors [11]. and dimensionality reduction [6]. Clustering is one of the important types of un-supervised machine learning algorithms which group and categorize unlabeled data. It is similar to classification, but the only difference is in the dataset. In classification we are dealing with labeled data but in clus- tering we are working with un-labeled dataset. To provide a clearer understanding of this concept, the general framework of clustering is shown in Fig. 7 (b). K-means clustering is a type of unsupervised learning algorithm which is working based on randomly initializing the centroids, computing the distances among given data points and centroids, and assigning the sample points to the new clusters. The main steps of the k-means clustering are depicted in Fig. 5 [12]. Fig. 5. Key steps of the K-Means clustering algorithm, illustrating the process of grouping data points into distinct clusters based on their features. In Fig. 6, we try to find the best place to separate the image after filtering with k-means clustering method. The images have been collected from Kaggle [13]. In this method as briefly 4 described in [14], we can use the final image in the form of a matrix. We select several random starting points in the matrix. Using the k-means method, we divide the points inside the image into several clusters [14]. The center point of each cluster can also be considered as the center of each character. Fig. 6. Samples of segmentations based on k-means clustering C. Reinforcement Learning Reinforcement learning (RL) is another subset of machine learning in which the agents are allowed to learn from their own experiences and errors in an environment leading to maximized total cumulative reward and making a balance between exploration and exploitation which are the main goals of RL [15]. As it is mentioned above, the main aim of unsuper- vised learning is to deal with unsorted data, differences, and similarities among them. Also, the main target in supervised learning is dealing with labeled data for better prediction and classification. The framework of supervised, unsupervised, and reinforcement learning are depicted in Fig. 7. D. Semi-supervised Learning Some drawbacks in supervised and unsupervised learning algorithms like manually labeling the data and limited spec- trum of applications, respectively [16] are the main motiva- tions of developing semi-supervised learning. In this type of learning, we are dealing with both labeled and unlabeled data. As seen in Fig. 8, the initial step here is clustering based on the similarity in the input data. It means that unsupervised learning is used first to cluster similar data and use it to train the model. Then this information can be used to label the remaining unlabeled data [6]. This process is called pseudo-labeling. Next, train the model based on these combined labeled and pseudo-labeled data [6][16] which results in prediction with better accuracy. E. Federated Learning Federated Learning (FL) offers a revolutionary training strategy for creating individualized models while",3
What are the main advantages of Particle Swarm Optimization compared to traditional optimization algorithms?,"Preprint submitted to the 6th ASMO UK / ISSMO conference. Oxford, 3rd – 4th July 2006  Particle Swarm Optimization: Development of a General-Purpose Optimizer  M. S. Innocente† and J. Sienz†  †University of Wales Swansea, Centre for Polymer Processing Simulation and Design, C2EC  Research Centre, Swansea, SA2 8PP, Wales-UK.  mauroinnocente@yahoo.com.ar              J.Sienz@swansea.ac.uk  Keywords: optimization, particle swarm, evolutionary algorithm, parameters’ tuning, stopping criteria, constraint- handling Abstract  For problems where the quality of any solution can be  quantified in a numerical value, optimization is the process of  finding the permitted combination of variables in the problem  that optimizes that value. Traditional methods present a very  restrictive range of applications, mainly limited by the features  of the function to be optimized and of the constraint functions.  In contrast, evolutionary algorithms present almost no  restriction to the features of these functions, although the most  appropriate constraint-handling technique is still an open  question. The particle swarm optimization (PSO) method is  sometimes viewed as another evolutionary algorithm because  of their many similarities, despite not being inspired by the  same metaphor. Namely, they evolve a population of  individuals taking into consideration previous experiences and  using stochastic operators to introduce new responses. The  advantages of evolutionary algorithms with respect to  traditional methods have been greatly discussed in the  literature for decades. While all such advantages are valid  when comparing the PSO paradigm to traditional methods, its  main advantages with respect to evolutionary algorithms  consist of its noticeably lower computational cost and easier  implementation. In fact, the plain version can be programmed  in a few lines of code, involving no operator design and few  parameters to be tuned. This paper deals with three important  aspects of the method: the influence of the parameters’ tuning  on the behaviour of the system; the design of stopping criteria  so that the reliability of the solution found can be somehow  estimated and computational cost can be saved; and the  development of appropriate techniques to handle constraints,  given that the original method is designed for unconstrained  optimization problems.  INTRODUCTION  Optimization is the process of seeking the combination  of variables that leads to the best performance of the  model, where “best” is measured according to a pre- defined criterion, usually subject to a set of constraints.  Thus, setting different combinations of values of the  “variables” allows trying different candidate solutions,  the “constraints” limit the valid combinations, and the  “optimality criterion” allows differentiating better from  worse. Traditional optimization methods exhibit several  weaknesses such as a number of requirements that either  the function to be optimized or the constraint functions  must comply with for the technique to be applicable,  and their usual incapability of escaping local optima.  Evolutionary algorithms (EAs) comprise a number of  techniques developed along the last few decades, which  are inspired by evolution processes that natural  organisms undergo to adapt to a dynamic environment  in order to survive. Since these organisms adapt by  seeking the best response to the challenge they are  facing, they happen to perform complex optimization  processes, which can be viewed as processes of fitness  maximization. It is important to remark that, since they  do not specifically intend to perform optimization but to  adapt to the environment, it is frequently claimed that  they are not “optimization” but “adaptation” methods. It  turns out that such adaptation results in optimizing the  fitness of the individuals. Although these methods  typically require higher computational resources than  traditional methods, they do not impose",1
What are the main advantages of Particle Swarm Optimization compared to traditional optimization algorithms?,"A particle swarm searching for the global minimum of a function Particle swarm optimization In computational science, particle swarm optimization (PSO)[1] is a computational method that optimizes a problem by iteratively trying to improve a candidate solution with regard to a given measure of quality. It solves a problem by having a population of candidate solutions, here dubbed particles, and moving these particles around in the search- space according to simple mathematical formulae over the particle's position and velocity. Each particle's movement is influenced by its local best known position, but is also guided toward the best known positions in the search-space, which are updated as better positions are found by other particles. This is expected to move the swarm toward the best solutions. PSO is originally attributed to Kennedy, Eberhart and Shi[2][3] and was first intended for simulating social behaviour,[4] as a stylized representation of the movement of organisms in a bird flock or fish school. The algorithm was simplified and it was observed to be performing optimization. The book by Kennedy and Eberhart[5] describes many philosophical aspects of PSO and swarm intelligence. An extensive survey of PSO applications is made by Poli.[6][7] In 2017, a comprehensive review on theoretical and experimental works on PSO has been published by Bonyadi and Michalewicz.[1] PSO is a metaheuristic as it makes few or no assumptions about the problem being optimized and can search very large spaces of candidate solutions. Also, PSO does not use the gradient of the problem being optimized, which means PSO does not require that the optimization problem be differentiable as is required by classic optimization methods such as gradient descent and quasi- newton methods. However, metaheuristics such as PSO do not guarantee an optimal solution is ever found. A basic variant of the PSO algorithm works by having a population (called a swarm) of candidate solutions (called particles). These particles are moved around in the search-space according to a few simple formulae.[8] The movements of the particles are guided by their own best-known position in the search-space as well as the entire swarm's best-known position. When improved positions are being discovered these will then come to guide the movements of the swarm. The process is repeated and by doing so it is hoped, but not guaranteed, that a satisfactory solution will eventually be discovered. Formally, let f:  ℝn  → ℝ be the cost function which must be minimized. The function takes a candidate solution as an argument in the form of a vector of real numbers and produces a real number as output which indicates the objective function value of the given candidate solution. The Algorithm Performance landscape showing how a simple PSO variant performs in aggregate on several benchmark problems when varying two PSO parameters. gradient of f is not known. The goal is to find a solution a for which f(a) ≤ f(b) for all b in the search-space, which would mean a is the global minimum. Let S be the number of particles in the swarm, each having a position xi ∈ ℝn in the search-space and a velocity vi ∈ ℝn. Let pi be the best known position of particle i and let g be the best known position of the entire swarm. A basic PSO algorithm to minimize the cost function is then:[9] for each particle i = 1, ..., S do     Initialize the particle's position with a uniformly distributed random vector: xi ~ U(blo, bup)     Initialize the particle's best known position to its initial position: pi ← xi     if f(pi) < f(g) then         update the swarm's best known position: g ← pi     Initialize the particle's velocity: vi ~ U(-|bup-blo|, |bup-blo|) while a termination criterion is not met do:     for each particle i = 1, ..., S do         for each dimension d = 1, ..., n do             Pick random numbers: rp, rg ~ U(0,1)             Update the particle's velocity: vi,d ← w vi,d + φp rp (pi,d-xi,d) + φg rg",3
What are the main advantages of Particle Swarm Optimization compared to traditional optimization algorithms?,"Preprint submitted to Trends in Engineering Computational Technology  doi:10.4203/csets.20.6  1  Abstract    The advantages of evolutionary algorithms with respect to traditional methods have  been greatly discussed in the literature. While particle swarm optimizers share such  advantages, they outperform evolutionary algorithms in that they require lower  computational cost and easier implementation, involving no operator design and few  coefficients to be tuned. However, even marginal variations in the settings of these  coefficients greatly influence the dynamics of the swarm. Since this paper does not  intend to study their tuning, general-purpose settings are taken from previous stud- ies, and virtually the same algorithm is used to optimize a variety of notably differ- ent problems. Thus, following a review of the paradigm, the algorithm is tested on a  set of benchmark functions and engineering problems taken from the literature. Lat- er, complementary lines of code are incorporated to adapt the method to combinato- rial optimization as it occurs in scheduling problems, and a real case is solved using  the same optimizer with the same settings. The aim is to show the flexibility and ro- bustness of the approach, which can handle a wide variety of problems.    Keywords: Particle Swarms, Artificial Intelligence, Optimization, Scheduling.    1  Introduction    The characteristics of the objective variables, the function to be optimized and the  constraint functions severely restrict the applicability of traditional optimization al- gorithms. The variables and both the objective and constraint functions must comply  with a number of requirements for a given traditional method to be applicable. Fur- thermore, traditional methods are typically prone to converge towards local optima.  By contrast, population-based methods such as evolutionary algorithms (EAs) and  particle swarm optimization (PSO) are general-purpose optimizers, which are able to  handle different types of variables and functions with few or no adaptations. Be- sides, although finding the global optimum is not guaranteed, they are able to escape  Particle Swarm Optimization: Fundamental Study and its  Application to Optimization and to Jetty Scheduling Problems     J. Sienz1 and M. S. Innocente1  1ADOPT Research Group,   School of Engineering  Swansea University,  Swansea, UK  Keywords: Particle Swarms, Artificial Intelligence, Optimization, Scheduling. Preprint submitted to Trends in Engineering Computational Technology  doi:10.4203/csets.20.6  2  poor local optima by evolving a population of interacting individuals which profit  from information acquired through experience, and use stochastic weights or opera- tors to introduce new responses. The lack of limitations to the features of the varia- bles and functions that model the problem enable these methods to handle models  whose high complexity does not allow traditional, deterministic, analytical ap- proaches. While the advantages of PSO and EAs with respect to traditional methods  are roughly the same, the main advantages of PSO when compared to EAs are its  lower computational cost and easier implementation. Regarding their drawbacks,  both these methods require higher computational effort, some constraint-handling  technique incorporated, and find it hard to handle equality constraints.    Population-based methods like EAs and PSO are considered modern heuristics  because they are not designed to optimize a given problem deterministically but to  carry out some procedures that are not directly related to the optimization problem.  Optimization occurs without evident links between the implemented technique and  the resulting optimization process. They are also viewed as Artificial Intelligence  (AI) techniques because their ability to optimize is an emergent property that is not  specifically intended, and therefore not implemented in the code. Thus, the problem  per se is not analytically solved, but",0
What are the main advantages of Particle Swarm Optimization compared to traditional optimization algorithms?,"registration methods use the intensity values of the pixels in the images to register the images. One common approach is to use Mutual Information (MI), which is a measure of the statistical dependence between the intensity values in the two images. Normalized Mutual Informa- tion (NMI) improves the robustness of MI by avoiding some mis-registrations by being independent of overlapping areas of the two datasets. Feature-based Registration methods aim to ﬁnd the transformation that minimizes the distance between the features extracted from the datasets to be aligned. The features are geometrical entities, with the most commonly used ones being points, lines or contours [4]. Springer Nature 2021 LATEX template PSO for 3D medical image registration 3 3 Particle Swarm Optimization The Particle Swarm Optimization (PSO) algorithm is a population-based opti- mization algorithm, proposed by Kennedy and Eberhart in 1995 [2]. It is inspired by the behavior of swarms in nature. It works by iteratively improv- ing a candidate solution by adjusting the values of the variables in the solution based on the experiences of the ”particles” in the swarm. The algorithm consists of a population of particles, each of which represents a potential solution to the optimization problem. Each particle has a position in the search space and a velocity, which determines how the particle moves through the search space. The particles are initialized at random positions in the search space, and the velocity of each particle is initialized to a small value. At each iteration of the algorithm, each particle updates its position and velocity based on its current position, the best position it has found so far (referred to as the ”personal best” position), and the best position found by any particle in the swarm (referred to as the ”global best” position). The position and velocity of each particle are updated according to the following equations: V (t + 1) = wV (t) + c1r1(PBest(t) −P(t)) + c2r2(GBest(t) −P(t)) (1) P(t + 1) = P(t) + V (t + 1) (2) where: V is the velocity, P is the position of the particle, t is the current iteration, w is the inertia weight, which determines how much the particle’s current velocity aﬀects its new velocity, c1 and c2 are constants that control the inﬂuence of the personal best and global best positions on the particle’s velocity, r1 and r2 are random numbers between 0 and 1, PBest(t) is the best position the particle has found so far, GBest(t) is the best position found by any particle in the swarm. The algorithm continues until a stopping criterion is met, such as a maximum number of iterations or a satisfactory solution being found. PSO is a simple and eﬀective optimization algorithm that has been applied to a wide range of problems in various ﬁelds. It is easy to implement and can ﬁnd solutions quickly, making it a popular choice for many optimization problems. Several variants of the original PSO has been proposed. In this review we will investigate if the standard PSO algorithm has been used or its variants. See Nayak et al. [7] for an in-depth analysis of PSO, its variants and its applications, and Gad [8] for a systemtic review on PSO, that also outlines previous review studies. 4 Methodology and Results We applied the systematic review methodology of Brereton et al. [9]. In this section we describe how we planned, conducted and analyzed results. Springer Nature 2021 LATEX template 4 PSO for 3D medical image registration 4.1 Planning the review During this phase, we identiﬁed the needs for this literature review. We reviewed the state-of-the-art existing literature in this area. The research questions were generated accordingly, and they are listed as follows: RQ1: What is the brief overview of current research? RQ2: What are the extensively applied approaches? RQ3: How the work is distributed according to time division? RQ4: What are the address registration problems? RQ5: What are the applied algorithms? 4.2 Conducting",1
What are the main advantages of Particle Swarm Optimization compared to traditional optimization algorithms?,"in metals — slowly cooling down a material to reduce defects. In optimization, simulated annealing starts with random solutions and makes changes, accepting worse solutions early on (just like how high temperatures allow for more flexibility in metals) and gradually reducing the acceptance rate as the temperature cools. Both SA and EAs use randomness to explore the solution space, but the key difference is that EAs work with populations of solutions, while SA focuses on improving a single solution over time. SA is more straightforward but might miss out on the broader exploration that EAs achieve by working with multiple solutions at once. Particle Swarm Optimization vs Evolutionary Algorithms Now, let’s talk about Particle Swarm Optimization (PSO) — another population- based technique. PSO is inspired by how birds flock together or how fish swim in schools. It’s like the members of the population, or “particles,” fly through the solution space, guided by both their own experience and the knowledge of the entire swarm. You can think of it as a cooperative strategy where each particle adjusts its position based on its own “best-known position” and the “best-known position” of its neighbors. How does this compare to EAs? While both use a population to search the solution space, PSO focuses more on swarm intelligence, where particles share information to improve the whole group. EAs, on the other hand, rely on evolutionary principles — selection, crossover, and mutation — to evolve the population over generations. PSO can be faster because it doesn’t perform crossover or mutation, but EAs can be more effective in highly complex and rugged landscapes due to their genetic diversity. Applications of Evolutionary Algorithms You might be thinking: “Okay, I get the theory — but where do evolutionary algorithms actually shine in the real world?” Well, EAs are incredibly versatile, and their applications range from engineering to creative arts. Let’s break it down. Optimization in Engineering In engineering, optimization problems are everywhere — from designing aerodynamics to optimizing structures for strength and weight. Evolutionary algorithms are particularly useful when the solution space is vast and filled with constraints. For instance, when optimizing the shape of an airplane wing, traditional methods might struggle to balance conflicting requirements (like lift vs. drag). EAs can explore different designs, evolving solutions over time to find a balance that meets all objectives. You’ll also see EAs used in control system design, manufacturing processes, and mechanical optimization, where the number of variables and constraints make it difficult to use conventional techniques. Machine Learning If you’ve ever struggled with hyperparameter tuning in machine learning, evolutionary algorithms might just be your savior. You can use EAs to evolve neural network architectures — a process known as neuroevolution. Instead of manually designing the network structure, the EA searches for the best architecture by tweaking the number of layers, neurons, and connections. This is especially helpful when you’re working with deep learning models that have tons of hyperparameters to optimize. EAs can also be applied to evolve decision trees, tune parameters in support vector machines, or optimize any machine learning algorithm where the search space is large and complex. Artificial Creativity This might surprise you: EAs aren’t just for technical fields — they can be used to generate art and music. In evolutionary art, an algorithm evolves visual images by mutating and combining different designs until an aesthetically pleasing result is achieved. Similarly, in music, evolutionary algorithms can be used to compose melodies by evolving musical structures based on user feedback or predefined fitness criteria. You’re essentially “breeding” creativity, evolving novel patterns that might never have been imagined otherwise. Some artists and researchers",0
